1,152,498
1,167,494
1,228,470
1,368,282
1,371,281
1,546,551
1,551,550
2,196,487
2,497,558
2,501,556
2,507,552
2,564,236
4,582,234
4,599,232
5,373,286
5,573,235
5,611,231
6,592,233
7,377,280
7,617,229
5115,371,244
5187,586,195
5564,185,453
6987,533,510
